source_key,file,pages,extracted_rows
common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,12,220
common_setagaya_engineering_alt,0b9b37db00b8706444e4f7a750410138.pdf,12,205
architecture,311a4a97843fb88816a58e1fc4e50d98.pdf,20,115
urban_civil,fcfa81125b1516a4c6c647f0753fc555.pdf,22,90
computer_science,4123eec2627f153000328b01720cf021.pdf,22,115
intelligent_systems,b2424772163806e832630365b78767c2.pdf,14,98
environment,e69aa2716a5d0db78c4241f183a36f63.pdf,140,343
media_informatics,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,148,398
design_data,3db8dbc9a70710d1a1cf633fefc085e8.pdf,108,121
urban_life,9a97b84ce1f096e0db084e81dac0bf1f.pdf,113,264
human,9ac54018ba04a3dadd1774fcaec7facc.pdf,109,280
teacher,2026理工教職.pdf,40,45
